model_name,params,elapsed_time,loss,acc,precision,recall,auc
0,"{'units': 56, 'learning_rate': 0.0001, 'batch_size': 64, 'activation': 'sigmoid'}",1191.4239535331726,0.29528605937957764,0.8986666798591614,0.9093230962753296,0.8899999856948853,0.9928981065750122
1,"{'units': 128, 'learning_rate': 0.0001, 'batch_size': 128, 'activation': 'sigmoid'}",16570.51828622818,0.3145427703857422,0.8923333287239075,0.9044771194458008,0.8821666836738586,0.9923672080039978
2,"{'units': 4096, 'learning_rate': 0.0001, 'batch_size': 256, 'activation': 'relu'}",1270.9519715309143,0.3298497498035431,0.8853333592414856,0.8974359035491943,0.875,0.9913872480392456
3,"{'units': 32, 'learning_rate': 0.01, 'batch_size': 128, 'activation': 'tanh'}",617.3850629329681,0.4106885492801666,0.8515833616256714,0.8861633539199829,0.812833309173584,0.9893956184387207
4,"{'units': 512, 'learning_rate': 0.01, 'batch_size': 16, 'activation': 'tanh'}",477.8211102485657,0.6222714185714722,0.7596666812896729,0.8044028282165527,0.715583324432373,0.9767856001853943
5,"{'units': 56, 'learning_rate': 0.0001, 'batch_size': 128, 'activation': 'relu'}",2343.354022026062,0.3095165491104126,0.8960833549499512,0.9071349501609802,0.8889166712760925,0.991614818572998
6,"{'units': 4096, 'learning_rate': 0.001, 'batch_size': 64, 'activation': 'tanh'}",623.6890234947205,0.29282087087631226,0.906416654586792,0.9116631746292114,0.9021666646003723,0.9915288686752319
7,"{'units': 32, 'learning_rate': 0.01, 'batch_size': 32, 'activation': 'sigmoid'}",24007.94064640999,0.527349054813385,0.8032500147819519,0.8399927020072937,0.7673333287239075,0.9825775027275085
8,"{'units': 32, 'learning_rate': 0.0001, 'batch_size': 512, 'activation': 'elu'}",1614.8536202907562,0.3184445798397064,0.8925833106040955,0.9065844416618347,0.8823333382606506,0.9919409155845642
9,"{'units': 1024, 'learning_rate': 0.0001, 'batch_size': 512, 'activation': 'relu'}",1807.5435135364532,0.3148001432418823,0.8930833339691162,0.9082883596420288,0.8830833435058594,0.9917659759521484
